field 	Temperature 	q_loaded 	q_unloaded 	reso_freq 	Rsf 	del_Rsf 	del_Xsf 
2.561080e+04 	5.192000e+01 	6.688207e+03 	6.865258e+03 	7.881029e+09 	1.529701e-02 	-7.769199e-04 	1.223118e-02 
2.642110e+04 	5.191800e+01 	6.714204e+03 	6.890981e+03 	7.881024e+09 	1.523910e-02 	-8.348334e-04 	1.236588e-02 
2.721280e+04 	5.191600e+01 	6.616205e+03 	6.783765e+03 	7.881021e+09 	1.548338e-02 	-5.905473e-04 	1.244547e-02 
2.805910e+04 	5.191400e+01 	6.614969e+03 	6.786943e+03 	7.881009e+09 	1.547603e-02 	-5.978996e-04 	1.275700e-02 
2.883370e+04 	5.191000e+01 	6.548013e+03 	6.714459e+03 	7.881003e+09 	1.564545e-02 	-4.284840e-04 	1.294111e-02 
2.967970e+04 	5.190800e+01 	6.463581e+03 	6.626846e+03 	7.880997e+09 	1.585517e-02 	-2.187640e-04 	1.308084e-02 
30508 	5.190600e+01 	6.540898e+03 	6.701238e+03 	7.880989e+09 	1.567674e-02 	-3.971895e-04 	1.331542e-02 
31299 	5.190400e+01 	6.564561e+03 	6.730898e+03 	7.880989e+09 	1.560671e-02 	-4.672265e-04 	1.332115e-02 
3.212830e+04 	5.190100e+01 	6.486593e+03 	6.649594e+03 	7.880976e+09 	1.580019e-02 	-2.737466e-04 	1.364813e-02 
3.297430e+04 	5.189800e+01 	6.369826e+03 	6.531767e+03 	7.880972e+09 	1.608913e-02 	1.519694e-05 	1.377527e-02 
3.376650e+04 	5.189600e+01 	6.447069e+03 	6.606909e+03 	7.880969e+09 	1.590367e-02 	-1.702633e-04 	1.386297e-02 
3.461260e+04 	5.189300e+01 	6.410878e+03 	6.573866e+03 	7.880960e+09 	1.598470e-02 	-8.923008e-05 	1.408273e-02 
3.542260e+04 	5.189000e+01 	6.361777e+03 	6.517592e+03 	7.880955e+09 	1.612459e-02 	5.066219e-05 	1.423599e-02 
3.625030e+04 	5.188700e+01 	6.352573e+03 	6.505765e+03 	7.880947e+09 	1.615430e-02 	8.036876e-05 	1.444326e-02 
3.707850e+04 	5.188500e+01 	6.396297e+03 	6.553425e+03 	7.880941e+09 	1.603524e-02 	-3.869426e-05 	1.459502e-02 
3.790690e+04 	5.188300e+01 	6.318444e+03 	6.471387e+03 	7.880934e+09 	1.624127e-02 	1.673421e-04 	1.478356e-02 
3.871770e+04 	5.187900e+01 	6.271316e+03 	6.423371e+03 	7.880929e+09 	1.636431e-02 	2.903746e-04 	1.494037e-02 
39563 	5.187700e+01 	6.233848e+03 	6.382975e+03 	7.880924e+09 	1.646925e-02 	3.953140e-04 	1.508004e-02 
4.037360e+04 	5.187300e+01 	6.244320e+03 	6.395510e+03 	7.880917e+09 	1.643654e-02 	3.626099e-04 	1.524565e-02 
4.118340e+04 	5.187100e+01 	6.227426e+03 	6.378250e+03 	7.880912e+09 	1.648161e-02 	4.076758e-04 	1.538082e-02 
4.202990e+04 	5.187000e+01 	6.199795e+03 	6.347495e+03 	7.880904e+09 	1.656252e-02 	4.885854e-04 	1.560614e-02 
42822 	5.186700e+01 	6.180838e+03 	6.328376e+03 	7.880900e+09 	1.661321e-02 	5.392811e-04 	1.571986e-02 
4.365060e+04 	5.186400e+01 	6.166395e+03 	6.315413e+03 	7.880894e+09 	1.664776e-02 	5.738283e-04 	1.589091e-02 
4.449650e+04 	5.186000e+01 	6.145790e+03 	6.291582e+03 	7.880887e+09 	1.671164e-02 	6.377080e-04 	1.605548e-02 
4.527060e+04 	5.185800e+01 	6.129269e+03 	6.273388e+03 	7.880883e+09 	1.676074e-02 	6.868057e-04 	1.617175e-02 
4.606220e+04 	5.185400e+01 	6.096134e+03 	6.241717e+03 	7.880877e+09 	1.684689e-02 	7.729559e-04 	1.633814e-02 
4.692690e+04 	5.185100e+01 	6.083897e+03 	6.224395e+03 	7.880872e+09 	1.689437e-02 	8.204429e-04 	1.648322e-02 
4.775530e+04 	5.184800e+01 	6.062195e+03 	6.201527e+03 	7.880868e+09 	1.695742e-02 	8.834856e-04 	1.658883e-02 
4.852930e+04 	5.184500e+01 	6.046461e+03 	6.185539e+03 	7.880859e+09 	1.700181e-02 	9.278761e-04 	1.681528e-02 
4.937540e+04 	5.184300e+01 	6.026428e+03 	6.166383e+03 	7.880852e+09 	1.705530e-02 	9.813658e-04 	1.700971e-02 
5.023960e+04 	5.183900e+01 	5.988241e+03 	6.123246e+03 	7.880848e+09 	1.717697e-02 	1.103043e-03 	1.713309e-02 
51014 	5.183700e+01 	5.996874e+03 	6.132496e+03 	7.880843e+09 	1.715074e-02 	1.076808e-03 	1.725282e-02 
5.186030e+04 	5.183300e+01 	5.966892e+03 	6.104603e+03 	7.880835e+09 	1.723009e-02 	1.156163e-03 	1.746258e-02 
52706 	5.182900e+01 	5.939411e+03 	6.075295e+03 	7.880830e+09 	1.731426e-02 	1.240329e-03 	1.760535e-02 
5.348020e+04 	5.182600e+01 	5.904293e+03 	6.036968e+03 	7.880825e+09 	1.742556e-02 	1.351627e-03 	1.773005e-02 
54326 	5.182300e+01 	5.910295e+03 	6.044568e+03 	7.880819e+09 	1.740338e-02 	1.329445e-03 	1.790033e-02 
5.510040e+04 	5.181800e+01 	5.896618e+03 	6.027373e+03 	7.880814e+09 	1.745364e-02 	1.379713e-03 	1.803558e-02 
5.592860e+04 	5.181500e+01 	5.890034e+03 	6.023014e+03 	7.880810e+09 	1.746643e-02 	1.392502e-03 	1.815173e-02 
5.677490e+04 	5.181200e+01 	5.870544e+03 	6.003317e+03 	7.880804e+09 	1.752445e-02 	1.450520e-03 	1.829783e-02 
