13/12/2023 16:34:40:getField ['4', '13227.27', '0.000']
13/12/2023 16:34:44:getTemprature ['2', '13230.95', '47.6006']
13/12/2023 16:34:45:getField ['4', '13231.52', '0.000']
13/12/2023 16:34:45:getField ['4', '13231.95', '0.000']
13/12/2023 16:34:46:getField ['4', '13232.45', '0.000']
13/12/2023 16:34:46:getField ['4', '13232.97', '0.000']
13/12/2023 16:40:09:getTemprature ['2', '13555.63', '47.5985']
13/12/2023 16:40:09:getField ['4', '13556.13', '0.000']
13/12/2023 16:40:10:getTemprature ['2', '13556.84', '47.6032']
13/12/2023 16:40:17:getField ['4', '13563.70', '0.000']
13/12/2023 16:40:17:getField ['4', '13563.91', '0.000']
13/12/2023 16:40:18:getField ['4', '13564.41', '0.000']
13/12/2023 16:40:18:getField ['4', '13564.91', '0.000']
13/12/2023 16:40:19:getTemprature ['2', '13565.73', '47.6025']
13/12/2023 16:40:19:getField ['4', '13566.20', '0.000']
13/12/2023 16:40:20:getField ['4', '13566.72', '0.000']
13/12/2023 16:40:20:getField ['4', '13567.22', '0.000']
13/12/2023 16:40:21:getField ['4', '13567.72', '0.000']
13/12/2023 16:40:22:getTemprature ['2', '13568.52', '47.6010']
13/12/2023 16:40:22:getField ['4', '13569.05', '0.000']
13/12/2023 16:40:23:getField ['4', '13569.52', '0.000']
13/12/2023 16:40:23:getField ['4', '13570.02', '0.000']
13/12/2023 16:40:24:getField ['4', '13570.53', '0.000']
13/12/2023 16:41:32:getTemprature ['2', '13638.61', '47.6030']
13/12/2023 16:41:32:getField ['4', '13639.13', '0.000']
13/12/2023 16:41:33:getTemprature ['2', '13639.83', '47.6009']
13/12/2023 16:41:34:getField ['4', '13640.36', '0.000']
13/12/2023 16:41:34:getField ['4', '13640.83', '0.000']
13/12/2023 16:41:35:getField ['4', '13641.36', '0.000']
13/12/2023 16:41:35:getField ['4', '13641.86', '0.000']
13/12/2023 16:41:36:getTemprature ['2', '13642.66', '47.5977']
13/12/2023 16:41:36:getField ['4', '13643.11', '0.000']
13/12/2023 16:41:37:getField ['4', '13643.61', '0.000']
13/12/2023 16:41:37:getField ['4', '13644.11', '0.000']
13/12/2023 16:41:38:getField ['4', '13644.61', '0.000']
13/12/2023 16:41:39:getTemprature ['2', '13645.42', '47.5966']
13/12/2023 16:41:39:getField ['4', '13645.92', '0.000']
13/12/2023 16:41:40:getField ['4', '13646.42', '0.000']
13/12/2023 16:41:40:getField ['4', '13646.94', '0.000']
13/12/2023 16:41:41:getField ['4', '13647.42', '0.000']
13/12/2023 16:41:41:getTemprature ['2', '13648.25', '47.6025']
13/12/2023 16:41:42:getField ['4', '13648.75', '0.000']
13/12/2023 16:41:42:getField ['4', '13649.27', '0.000']
13/12/2023 16:41:43:getField ['4', '13649.73', '0.000']
13/12/2023 16:41:43:getField ['4', '13650.23', '0.000']
13/12/2023 16:41:44:getTemprature ['2', '13651.02', '47.5961']
13/12/2023 16:41:45:getField ['4', '13651.52', '0.000']
13/12/2023 16:41:45:getField ['4', '13652.02', '0.000']
13/12/2023 16:41:46:getField ['4', '13652.50', '0.000']
13/12/2023 16:41:46:getField ['4', '13653.00', '0.000']
13/12/2023 16:41:47:getTemprature ['2', '13653.80', '47.5993']
13/12/2023 16:41:47:getField ['4', '13654.30', '0.000']
13/12/2023 16:41:48:getField ['4', '13654.80', '0.000']
13/12/2023 16:41:48:getField ['4', '13655.34', '0.000']
13/12/2023 16:41:49:getField ['4', '13655.80', '0.000']
13/12/2023 16:41:50:getTemprature ['2', '13656.63', '47.5982']
13/12/2023 16:41:50:getField ['4', '13657.16', '0.000']
13/12/2023 16:41:51:getField ['4', '13657.63', '0.000']
13/12/2023 16:41:51:getField ['4', '13658.13', '0.000']
13/12/2023 16:41:52:getField ['4', '13658.63', '0.000']
